Source_Titles,records,percent_of_total
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,1,0.003
INTERNATIONAL JOURNAL OF UROLOGY,1,0.003
INTERNATIONAL JOURNAL OF VASCULAR MEDICINE,1,0.003
INTERNATIONAL JOURNAL OF WOMENS HEALTH,1,0.003
INTERNATIONAL MEDICAL JOURNAL,1,0.003
INTERNATIONAL OPHTHALMOLOGY,1,0.003
INTERNATIONAL ORTHOPAEDICS,1,0.003
INTERNATIONAL QUARTERLY OF COMMUNITY HEALTH EDUCATION,1,0.003
INTERNATIONAL REVIEW OF NEUROBIOLOGY,1,0.003
INTERNATIONAL REVIEW OF RESEARCH IN MENTAL RETARDATION,1,0.003
INTERNATIONAL REVIEW OF RESEARCH IN MENTAL RETARDATION VOL 32,1,0.003
INTERNATIONAL SYMPOSIUM 2016 EDUCATION MANAGEMENT AND INNOVATION,1,0.003
INTERNATIONAL SYMPOSIUM ON FOOD AND AGRO BIODIVERSITY ISFA 2017,1,0.003
INTERNET JOURNAL OF MEDICAL UPDATE,1,0.003
INTERSECTION OF FOOD AND PUBLIC HEALTH CURRENT POLICY CHALLENGES AND SOLUTIONS,1,0.003
INVESTIGATIVE AND CLINICAL UROLOGY,1,0.003
IOP CONFERENCE SERIES MATERIALS SCIENCE AND ENGINEERING,1,0.003
IRANIAN JOURNAL OF ALLERGY ASTHMA AND IMMUNOLOGY,1,0.003
IRANIAN JOURNAL OF MEDICAL SCIENCES,1,0.003
IRANIAN JOURNAL OF VETERINARY RESEARCH,1,0.003
IRISH JOURNAL OF PSYCHOLOGY,1,0.003
IRRITABLE BOWEL SYNDROME,1,0.003
IS THAT YOUR MOM VOICES OF CROSS RACIALLY RAISED ADULTS OF THE AFRICAN DISPORA,1,0.003
ISGE SERIES,1,0.003
ITALIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,1,0.003
IX INTERNATIONAL SEMINAR ON MEDICAL INFORMATION PROCESSING AND ANALYSIS,1,0.003
JAMA DERMATOLOGY,1,0.003
JAMA OPHTHALMOLOGY,1,0.003
JAPANESE CLINICAL MEDICINE,1,0.003
JCR JOURNAL OF CLINICAL RHEUMATOLOGY,1,0.003
JMIR MENTAL HEALTH,1,0.003
JMIR PUBLIC HEALTH AND SURVEILLANCE,1,0.003
JNCI CANCER SPECTRUM,1,0.003
JOURNAL FOR HEALTHCARE QUALITY,1,0.003
JOURNAL FUR KARDIOLOGIE,1,0.003
JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,1,0.003
JOURNAL OF ACADEMIC RESEARCH IN MEDICINE JAREM,1,0.003
JOURNAL OF ADULT DEVELOPMENT,1,0.003
JOURNAL OF ADVANCED PHARMACEUTICAL TECHNOLOGY RESEARCH,1,0.003
JOURNAL OF AEROSOL MEDICINE DEPOSITION CLEARANCE AND EFFECTS IN THE LUNG,1,0.003
JOURNAL OF AGRIBUSINESS IN DEVELOPING AND EMERGING ECONOMIES,1,0.003
JOURNAL OF AGRICULTURAL ENVIRONMENTAL ETHICS,1,0.003
JOURNAL OF ANTHROPOLOGICAL RESEARCH,1,0.003
JOURNAL OF AOAC INTERNATIONAL,1,0.003
JOURNAL OF APPLIED BIOBEHAVIORAL RESEARCH,1,0.003
JOURNAL OF APPLIED COMMUNICATION RESEARCH,1,0.003
JOURNAL OF APPLIED GENETICS,1,0.003
JOURNAL OF APPLIED GERONTOLOGY,1,0.003
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1,0.003
JOURNAL OF APPLIED STATISTICS,1,0.003
JOURNAL OF ASIAN AND AFRICAN STUDIES,1,0.003
JOURNAL OF ASTHMA AND ALLERGY,1,0.003
JOURNAL OF ATTENTION DISORDERS,1,0.003
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,1,0.003
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,1,0.003
JOURNAL OF BEHAVIORAL HEALTH SERVICES RESEARCH,1,0.003
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,1,0.003
JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,1,0.003
JOURNAL OF BIOMECHANICS,1,0.003
JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY,1,0.003
JOURNAL OF BIOTECHNOLOGY,1,0.003
JOURNAL OF BONE AND JOINT SURGERY AMERICAN VOLUME,1,0.003
JOURNAL OF BREATH RESEARCH,1,0.003
JOURNAL OF BUSINESS ECONOMIC STATISTICS,1,0.003
JOURNAL OF BUSINESS RESEARCH,1,0.003
JOURNAL OF BUSINESS VENTURING,1,0.003
JOURNAL OF CANCER RESEARCH AND THERAPEUTICS,1,0.003
JOURNAL OF CARDIOVASCULAR EMERGENCIES,1,0.003
JOURNAL OF CARDIOVASCULAR SURGERY,1,0.003
JOURNAL OF CAREER ASSESSMENT,1,0.003
JOURNAL OF CATARACT AND REFRACTIVE SURGERY,1,0.003
JOURNAL OF CELL BIOLOGY,1,0.003
JOURNAL OF CELL SCIENCE,1,0.003
JOURNAL OF CEREAL SCIENCE,1,0.003
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,1,0.003
JOURNAL OF CHILD ADOLESCENT TRAUMA,1,0.003
JOURNAL OF CHILD AND ADOLESCENT PSYCHIATRIC NURSING,1,0.003
JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1,0.003
JOURNAL OF CHILD CUSTODY,1,0.003
JOURNAL OF CHILD HEALTH CARE,1,0.003
JOURNAL OF CHILDREN AND MEDIA,1,0.003
JOURNAL OF CHRISTIAN NURSING,1,0.003
JOURNAL OF CHROMATOGRAPHY B BIOMEDICAL APPLICATIONS,1,0.003
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,1,0.003
JOURNAL OF CLINICAL AND TRANSLATIONAL HEPATOLOGY,1,0.003
JOURNAL OF CLINICAL APHERESIS,1,0.003
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1,0.003
JOURNAL OF CLINICAL LIGAND ASSAY,1,0.003
JOURNAL OF CLINICAL NEUROSCIENCE,1,0.003
JOURNAL OF COGNITIVE AND BEHAVIORAL PSYCHOTHERAPIES,1,0.003
JOURNAL OF COGNITIVE NEUROSCIENCE,1,0.003
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,1,0.003
JOURNAL OF COMMUNICATION,1,0.003
JOURNAL OF COMMUNITY HOSPITAL INTERNAL MEDICINE PERSPECTIVES,1,0.003
JOURNAL OF COMPARATIVE NEUROLOGY,1,0.003
JOURNAL OF COMPLEMENTARY MEDICINE,1,0.003
JOURNAL OF CONSUMER POLICY,1,0.003
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,1,0.003
JOURNAL OF CONTINUING EDUCATION IN NURSING,1,0.003
JOURNAL OF CORRECTIONAL HEALTH CARE,1,0.003
JOURNAL OF COUPLE RELATIONSHIP THERAPY INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,1,0.003
JOURNAL OF CRIME JUSTICE,1,0.003
JOURNAL OF CRIMINAL JUSTICE EDUCATION,1,0.003
JOURNAL OF CROHNS COLITIS,1,0.003
JOURNAL OF CROSS CULTURAL GERONTOLOGY,1,0.003
JOURNAL OF CROSS CULTURAL PSYCHOLOGY,1,0.003
JOURNAL OF DAIRY RESEARCH,1,0.003
JOURNAL OF DENTISTRY,1,0.003
JOURNAL OF EARLY ADOLESCENCE,1,0.003
JOURNAL OF ECHOCARDIOGRAPHY,1,0.003
JOURNAL OF ECONOMIC BEHAVIOR ORGANIZATION,1,0.003
JOURNAL OF ECONOMIC DYNAMICS CONTROL,1,0.003
JOURNAL OF ECONOMIC PSYCHOLOGY,1,0.003
JOURNAL OF ECONOMIC SOCIOLOGY EKONOMICHESKAYA SOTSIOLOGIYA,1,0.003
JOURNAL OF ECONOMIC SURVEYS,1,0.003
JOURNAL OF ELECTROANALYTICAL CHEMISTRY,1,0.003
JOURNAL OF ELEMENTOLOGY,1,0.003
JOURNAL OF EMERGENCY NURSING,1,0.003
JOURNAL OF EMPIRICAL LEGAL STUDIES,1,0.003
JOURNAL OF EMPLOYMENT COUNSELING,1,0.003
JOURNAL OF ENDOCRINOLOGY AND METABOLISM,1,0.003
JOURNAL OF ENDOCRINOLOGY METABOLISM AND DIABETES OF SOUTH AFRICA,1,0.003
JOURNAL OF ENVIRONMENTAL MANAGEMENT,1,0.003
JOURNAL OF ENVIRONMENTAL MONITORING,1,0.003
JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,1,0.003
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,1,0.003
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C ENVIRONMENTAL CARCINOGENESIS ECOTOXICOLOGY REVIEWS,1,0.003
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,1,0.003
JOURNAL OF EPIDEMIOLOGY AND GLOBAL HEALTH,1,0.003
JOURNAL OF ETHNICITY IN CRIMINAL JUSTICE,1,0.003
JOURNAL OF EVIDENCE BASED SOCIAL WORK,1,0.003
JOURNAL OF EXPERIMENTAL BIOLOGY,1,0.003
JOURNAL OF EXPERIMENTAL PSYCHOLOGY GENERAL,1,0.003
JOURNAL OF EXPERIMENTAL ZOOLOGY,1,0.003
JOURNAL OF EXTENSION,1,0.003
JOURNAL OF FAMILY ISSUES,1,0.003
JOURNAL OF FAMILY STUDIES,1,0.003
JOURNAL OF FOOD LIPIDS,1,0.003
JOURNAL OF FOOD PROCESSING AND PRESERVATION,1,0.003
JOURNAL OF FOOD QUALITY,1,0.003
JOURNAL OF FORENSIC AND LEGAL MEDICINE,1,0.003
JOURNAL OF FORENSIC NURSING,1,0.003
JOURNAL OF FORENSIC PSYCHIATRY,1,0.003
JOURNAL OF FRAILTY AGING,1,0.003
JOURNAL OF GAMBLING STUDIES,1,0.003
JOURNAL OF GASTROENTEROLOGY,1,0.003
JOURNAL OF GASTROINTESTINAL AND LIVER DISEASES,1,0.003
JOURNAL OF GAY LESBIAN MENTAL HEALTH,1,0.003
JOURNAL OF GAY LESBIAN SOCIAL SERVICES,1,0.003
JOURNAL OF GENERAL PHYSIOLOGY,1,0.003
JOURNAL OF GENETICS AND GENOMICS,1,0.003
JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,1,0.003
JOURNAL OF GLAUCOMA,1,0.003
JOURNAL OF GLOBAL HEALTH,1,0.003
JOURNAL OF GREAT LAKES RESEARCH,1,0.003
JOURNAL OF HEADACHE AND PAIN,1,0.003
JOURNAL OF HEPATO BILIARY PANCREATIC SCIENCES,1,0.003
JOURNAL OF HIGHER EDUCATION POLICY AND MANAGEMENT,1,0.003
JOURNAL OF HUMAN DEVELOPMENT AND CAPABILITIES,1,0.003
JOURNAL OF HUMAN RIGHTS AND SOCIAL WORK,1,0.003
JOURNAL OF HUMANISTIC PSYCHOLOGY,1,0.003
JOURNAL OF IMMUNOLOGICAL METHODS,1,0.003
JOURNAL OF IMMUNOTOXICOLOGY,1,0.003
JOURNAL OF INFECTION AND CHEMOTHERAPY,1,0.003
JOURNAL OF INFLAMMATION LONDON,1,0.003
JOURNAL OF INORGANIC BIOCHEMISTRY,1,0.003
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,1,0.003
JOURNAL OF INTERIOR DESIGN,1,0.003
JOURNAL OF INTERNATIONAL MIGRATION AND INTEGRATION,1,0.003
JOURNAL OF INTERNATIONAL TRANSLATIONAL MEDICINE,1,0.003
JOURNAL OF INVASIVE CARDIOLOGY,1,0.003
JOURNAL OF INVESTIGATIVE DERMATOLOGY,1,0.003
JOURNAL OF KOREAN NEUROSURGICAL SOCIETY,1,0.003
JOURNAL OF LABOR ECONOMICS,1,0.003
JOURNAL OF LARYNGOLOGY AND OTOLOGY,1,0.003
JOURNAL OF LATINX PSYCHOLOGY,1,0.003
JOURNAL OF LAW AND MEDICINE,1,0.003
JOURNAL OF LEARNING DISABILITIES,1,0.003
JOURNAL OF LEGAL MEDICINE,1,0.003
JOURNAL OF LESBIAN STUDIES,1,0.003
JOURNAL OF LEUKOCYTE BIOLOGY,1,0.003
JOURNAL OF LIQUID CHROMATOGRAPHY RELATED TECHNOLOGIES,1,0.003
JOURNAL OF MANAGEMENT,1,0.003
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,1,0.003
JOURNAL OF MARKETING RESEARCH,1,0.003
JOURNAL OF MATHEMATICAL PSYCHOLOGY,1,0.003
JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,1,0.003
JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY,1,0.003
JOURNAL OF MEDICAL SCREENING,1,0.003
JOURNAL OF MEDICINAL CHEMISTRY,1,0.003
JOURNAL OF MIND AND MEDICAL SCIENCES,1,0.003
JOURNAL OF MOLECULAR LIQUIDS,1,0.003
JOURNAL OF MOLECULAR NEUROSCIENCE,1,0.003
JOURNAL OF MUSCULOSKELETAL NEURONAL INTERACTIONS,1,0.003
JOURNAL OF MUSLIM MINORITY AFFAIRS,1,0.003
JOURNAL OF NEGRO EDUCATION,1,0.003
JOURNAL OF NEUROCHEMISTRY,1,0.003
JOURNAL OF NEUROENDOCRINOLOGY,1,0.003
JOURNAL OF NEUROENGINEERING AND REHABILITATION,1,0.003
JOURNAL OF NEUROGASTROENTEROLOGY AND MOTILITY,1,0.003
JOURNAL OF NEUROIMMUNE PHARMACOLOGY,1,0.003
JOURNAL OF NEUROIMMUNOLOGY,1,0.003
JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,1,0.003
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,1,0.003
JOURNAL OF NEUROSCIENCE METHODS,1,0.003
JOURNAL OF NEUROSURGERY,1,0.003
JOURNAL OF NEUROSURGERY SPINE,1,0.003
JOURNAL OF NURSE MIDWIFERY,1,0.003
JOURNAL OF NURSING CARE QUALITY,1,0.003
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,1,0.003
JOURNAL OF OCCUPATIONAL REHABILITATION,1,0.003
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS,1,0.003
JOURNAL OF OIL PALM RESEARCH,1,0.003
JOURNAL OF OLEO SCIENCE,1,0.003
JOURNAL OF ONCOLOGY PRACTICE,1,0.003
JOURNAL OF ORAL FACIAL PAIN AND HEADACHE,1,0.003
JOURNAL OF ORAL REHABILITATION,1,0.003
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,1,0.003
JOURNAL OF ORTHOPAEDIC RESEARCH,1,0.003
JOURNAL OF ORTHOPAEDIC SCIENCE,1,0.003
JOURNAL OF ORTHOPAEDIC SPORTS PHYSICAL THERAPY,1,0.003
JOURNAL OF ORTHOPAEDIC TRAUMA,1,0.003
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,1,0.003
JOURNAL OF PALLIATIVE MEDICINE,1,0.003
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,1,0.003
JOURNAL OF PATHOLOGY,1,0.003
JOURNAL OF PEDIATRIC AND ADOLESCENT GYNECOLOGY,1,0.003
JOURNAL OF PEDIATRIC HEALTH CARE,1,0.003
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,1,0.003
JOURNAL OF PEDIATRIC ONCOLOGY NURSING,1,0.003
JOURNAL OF PEDIATRICS REVIEW,1,0.003
JOURNAL OF PERINATAL EDUCATION,1,0.003
JOURNAL OF PHARMACEUTICAL HEALTH CARE AND SCIENCES,1,0.003
JOURNAL OF PHARMACY AND BIOALLIED SCIENCES,1,0.003
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,1,0.003
JOURNAL OF PHYCOLOGY,1,0.003
JOURNAL OF PHYSICAL CHEMISTRY B,1,0.003
JOURNAL OF PHYSICAL CHEMISTRY LETTERS,1,0.003
JOURNAL OF PHYSICS CONFERENCE SERIES,1,0.003
JOURNAL OF PHYSIOLOGICAL SCIENCES,1,0.003
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,1,0.003
JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,1,0.003
JOURNAL OF POLICY MODELING,1,0.003
JOURNAL OF POLITICS,1,0.003
JOURNAL OF POSTGRADUATE MEDICINE,1,0.003
JOURNAL OF PRIMARY PREVENTION,1,0.003
JOURNAL OF PROSTHODONTIC RESEARCH,1,0.003
JOURNAL OF PROTEOMICS,1,0.003
JOURNAL OF PSYCHIATRIC AND MENTAL HEALTH NURSING,1,0.003
JOURNAL OF PSYCHIATRIC PRACTICE,1,0.003
JOURNAL OF PSYCHOSOMATIC OBSTETRICS AND GYNECOLOGY,1,0.003
JOURNAL OF PUBLIC HEALTH RESEARCH,1,0.003
JOURNAL OF PUBLIC POLICY MARKETING,1,0.003
JOURNAL OF RADIOLOGICAL PROTECTION,1,0.003
JOURNAL OF REFUGEE STUDIES,1,0.003
JOURNAL OF REHABILITATION,1,0.003
JOURNAL OF REHABILITATION MEDICINE,1,0.003
JOURNAL OF RENAL INJURY PREVENTION,1,0.003
JOURNAL OF RESEARCH IN CHILDHOOD EDUCATION,1,0.003
JOURNAL OF RESEARCH IN MEDICAL AND DENTAL SCIENCE,1,0.003
JOURNAL OF RHEUMATIC DISEASES,1,0.003
JOURNAL OF RISK RESEARCH,1,0.003
JOURNAL OF SCLERODERMA AND RELATED DISORDERS,1,0.003
JOURNAL OF SEX MARITAL THERAPY,1,0.003
JOURNAL OF SMALL ANIMAL PRACTICE,1,0.003
JOURNAL OF SOCIAL PHILOSOPHY,1,0.003
JOURNAL OF SOCIAL PSYCHOLOGY,1,0.003
JOURNAL OF SOCIAL SERVICE RESEARCH,1,0.003
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1,0.003
JOURNAL OF SPORT SOCIAL ISSUES,1,0.003
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,1,0.003
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW,1,0.003
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,1,0.003
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,1,0.003
JOURNAL OF THE AMERICAN OSTEOPATHIC ASSOCIATION,1,0.003
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,1,0.003
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,1,0.003
JOURNAL OF THE AMERICAN PSYCHIATRIC NURSES ASSOCIATION,1,0.003
JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,1,0.003
JOURNAL OF THE DERMATOLOGY NURSES ASSOCIATION,1,0.003
JOURNAL OF THE INTERNATIONAL AIDS SOCIETY,1,0.003
JOURNAL OF THE INTERNATIONAL SOCIETY OF SPORTS NUTRITION,1,0.003
JOURNAL OF THE RENIN ANGIOTENSIN ALDOSTERONE SYSTEM,1,0.003
JOURNAL OF THE ROYAL COLLEGE OF PHYSICIANS OF LONDON,1,0.003
JOURNAL OF THEORETICAL BIOLOGY,1,0.003
JOURNAL OF THORACIC ONCOLOGY,1,0.003
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH PART A CURRENT ISSUES,1,0.003
JOURNAL OF TRAUMA INJURY INFECTION AND CRITICAL CARE,1,0.003
JOURNAL OF TRAUMATIC STRESS,1,0.003
JOURNAL OF TRAVEL MEDICINE,1,0.003
JOURNAL OF ULTRASOUND,1,0.003
JOURNAL OF URBAN ECONOMICS,1,0.003
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,1,0.003
JOURNAL OF VASCULAR NURSING,1,0.003
JOURNAL OF VETERINARY CARDIOLOGY,1,0.003
JOURNAL OF VIRUS ERADICATION,1,0.003
JOURNAL OF VISUAL IMPAIRMENT BLINDNESS,1,0.003
JOURNAL OF WATER AND HEALTH,1,0.003
JOURNAL OF WOMEN POLITICS POLICY,1,0.003
JOURNAL OF ZHEJIANG UNIVERSITY SCIENCE B,1,0.003
JOURNALS OF GERONTOLOGY,1,0.003
JOURNEYS IN SOCIAL PSYCHOLOGY LOOKING BACK TO INSPIRE THE FUTURE,1,0.003
JPAD JOURNAL OF PREVENTION OF ALZHEIMERS DISEASE,1,0.003
JUDGMENT AND DECISION MAKING,1,0.003
JURNAL GIZI DAN PANGAN,1,0.003
KARDIOCHIRURGIA I TORAKOCHIRURGIA POLSKA,1,0.003
KARDIOLOGE,1,0.003
KEY ISSUES IN MENTAL HEALTH,1,0.003
KLINIK PSIKOFARMAKOLOJI BULTENI BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY,1,0.003
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,1,0.003
KNOBIL AND NEILL S PHYSIOLOGY OF REPRODUCTION VOLS 1 AND 2 3RD EDITON,1,0.003
KONURALP TIP DERGISI,1,0.003
KOREAN JOURNAL OF HORTICULTURAL SCIENCE TECHNOLOGY,1,0.003
KOREAN JOURNAL OF PHYSIOLOGY PHARMACOLOGY,1,0.003
LAB ANIMAL,1,0.003
LABORATORIUMSMEDIZIN JOURNAL OF LABORATORY MEDICINE,1,0.003
LABORATORY INVESTIGATION,1,0.003
LAEKNABLADID,1,0.003
LANCET PSYCHIATRY,1,0.003
LATERALITY,1,0.003
LEGAL FRONTIERS IN EDUCATION COMPLEX LAW ISSUES FOR LEADERS POLICYMAKERS AND POLICY IMPLEMENTERS,1,0.003
LEISURE SCIENCES,1,0.003
LIFE SPAN AND DISABILITY,1,0.003
LIFESTYLE IN MEDICINE,1,0.003
LIFETIME NUTRITIONAL INFLUENCES ON COGNITION BEHAVIOUR AND PSYCHIATRIC ILLNESS,1,0.003
LIPID MEDIATED SIGNALING,1,0.003
LIPIDOMICS AND BIOACTIVE LIPIDS,1,0.003
LIPIDS IN AQUATIC ECOSYSTEMS,1,0.003
LIPIDS NUTRITION AND HEALTH,1,0.003
LIVER METABOLISM AND FATTY LIVER DISEASE,1,0.003
LONGITUDINAL AND LIFE COURSE STUDIES,1,0.003
LUTS LOWER URINARY TRACT SYMPTOMS,1,0.003
LWT FOOD SCIENCE AND TECHNOLOGY,1,0.003
M S MEDECINE SCIENCES,1,0.003
MAGNESIUM AND PYRIDOXINE FUNDAMENTAL STUDIES AND CLINICAL PRACTICE,1,0.003
MAGNETIC RESONANCE IN MEDICAL SCIENCES,1,0.003
MALARIA JOURNAL,1,0.003
MAN IN INDIA,1,0.003
MANKIND QUARTERLY,1,0.003
MANUAL OF HYPERTENSION OF THE EUROPEAN SOCIETY OF HYPERTENSION 2ND EDITION,1,0.003
MARIHUANA AND MEDICINE,1,0.003
MARINE BIOTECHNOLOGY,1,0.003
MARRIAGE AND FAMILY REVIEW,1,0.003
MATERIALS SCIENCE ENGINEERING C MATERIALS FOR BIOLOGICAL APPLICATIONS,1,0.003
MATERNAL FETAL AND NEONATAL ENDOCRINOLOGY PHYSIOLOGY PATHOPHYSIOLOGY AND CLINICAL MANAGEMENT,1,0.003
MCDONALD S BLOOD FLOW IN ARTERIES THEORETICAL EXPERIMENTAL AND CLINICAL PRINCIPLES 6TH EDITION,1,0.003
MEALS IN SCIENCE AND PRACTICE,1,0.003
MEASUREMENT IN PHYSICAL EDUCATION AND EXERCISE SCIENCE,1,0.003
MEASURING RACE AND ETHNICITY,1,0.003
MEAT QUALITY ANALYSIS ADVANCED EVALUATION METHODS TECHNIQUES AND TECHNOLOGIES,1,0.003
MECHANISMS AND MANIFESTATIONS OF OBESITY IN LUNG DISEASE,1,0.003
MECHANISMS UNDERLYING HOST MICROBIOME INTERACTIONS IN PATHOPHYSIOLOGY OF HUMAN DISEASES,1,0.003
MECHANOBIOLOGY AND MECHANOPHYSIOLOGY OF MILITARY RELATED INJURIES,1,0.003
MEDICAL AND PEDIATRIC ONCOLOGY,1,0.003
MEDICAL BIOLOGICAL ENGINEERING COMPUTING,1,0.003
MEDICAL CARE RESEARCH AND REVIEW,1,0.003
MEDICAL DECISION MAKING,1,0.003
MEDICAL IMAGING 2007 PHYSIOLOGY FUNCTION AND STRUCTURE FROM MEDICAL IMAGES,1,0.003
MEDICAL IMAGING 2011 VISUALIZATION IMAGE GUIDED PROCEDURES AND MODELING,1,0.003
MEDICAL IMAGING 2018 IMAGE PROCESSING,1,0.003
MEDICAL IMAGING 2019 IMAGE PROCESSING,1,0.003
MEDICAL ONCOLOGY,1,0.003
MEDICAL PHYSICS,1,0.003
MEDICAL SCIENCE,1,0.003
MEDICAL SCIENCE RESEARCH,1,0.003
MEDICAL SURGICAL JOURNAL REVISTA MEDICO CHIRURGICALA,1,0.003
MEDICAL TEACHER,1,0.003
MEDICAL ULTRASONOGRAPHY,1,0.003
MEDICINAL CHEMISTRY,1,0.003
MEDICINE AND SPORT SCIENCE,1,0.003
MEDICINE JOURNAL LEGAL AND SOCIAL,1,0.003
MEDIEVAL AND EARLY MODERN GARDEN IN BRITAIN ENCLOSURE AND TRANSFORMATION C 1200 1750,1,0.003
MEDITERRANEAN DIET HEALTH AND SCIENCE,1,0.003
MEDITERRANEAN WAY OF EATING EVIDENCE FOR CHRONIC DISEASE PREVENTION AND WEIGHT MANAGEMENT,1,0.003
MEDWAVE,1,0.003
MEDYCYNA PALIATYWNA PALLIATIVE MEDICINE,1,0.003
MEDYCYNA PRACY,1,0.003
MEDYCYNA WETERYNARYJNA,1,0.003
META GENE,1,0.003
METABOLIC GHETTO AN EVOLUTIONARY PERSPECTIVE ON NUTRITION POWER RELATIONS AND CHRONIC DISEASE,1,0.003
METABOLIC SYNDROME AND OBESITY IN CHILDHOOD AND ADOLESCENCE,1,0.003
METABOLIC SYNDROME CONSEQUENT TO ENDOCRINE DISORDERS,1,0.003
METAL IONS IN LIFE SCIENCES,1,0.003
METALLOMICS,1,0.003
METALLOMICS ANALYTICAL TECHNIQUES AND SPECIATION METHODS,1,0.003
METALS AND RELATED SUBSTANCES IN DRINKING WATER,1,0.003
METHODS IN MOLECULAR BIOLOGY,1,0.003
METHODS IN SIGNAL TRANSDUCTION SERIES,1,0.003
METHODS OF INFORMATION IN MEDICINE,1,0.003
METHYLMERCURY AND NEUROTOXICITY,1,0.003
MICROBIAL ENDOCRINOLOGY THE MICROBIOTA GUT BRAIN AXIS IN HEALTH AND DISEASE,1,0.003
MICROBIOTA IN GASTROINTESTINAL PATHOPHYSIOLOGY IMPLICATIONS FOR HUMAN HEALTH PREBIOTICS PROBIOTICS AND DYSBIOSIS,1,0.003
MICROCIRCULATION,1,0.003
MICROVASCULAR RESEARCH,1,0.003
MILD TO MODERATE PSORIASIS 3RD EDITION,1,0.003
MINERAL AND ELECTROLYTE METABOLISM,1,0.003
MINERVA CHIRURGICA,1,0.003
MINERVA MEDICA,1,0.003
MINERVA PNEUMOLOGICA,1,0.003
MINNESOTA SYMPOSIA ON CHILD PSYCHOLOGY,1,0.003
MITOCHONDRION,1,0.003
MITRAL VALVE SURGERY,1,0.003
MLJEKARSTVO,1,0.003
MMWR RECOMMENDATIONS AND REPORTS,1,0.003
MODERN TRENDS IN PHARMACOPSYCHIATRY,1,0.003
MOLECULAR AND CELL BIOLOGY OF PAIN,1,0.003
MOLECULAR AND CELLULAR ASPECTS OF MUSCLE CONTRACTION,1,0.003
MOLECULAR AND CELLULAR BIOLOGY,1,0.003
MOLECULAR AND CELLULAR REGULATION OF ADAPTATION TO EXERCISE,1,0.003
MOLECULAR AND INTEGRATIVE TOXICOLOGY,1,0.003
MOLECULAR BASIS OF HEALTH AND DISEASE,1,0.003
MOLECULAR BIOLOGY,1,0.003
MOLECULAR BIOTECHNOLOGY,1,0.003
MOLECULAR BREEDING,1,0.003
MOLECULAR CANCER,1,0.003
