Funding_Agencies,records,percent_of_total
UNIVERSITY OF ALABAMA AT BIRMINGHAM UAB MINORITY HEALTH AND HEALTH DISPARITIES RESEARCH CENTER,1,0.003
UNIVERSITY OF ALABAMA BIRMINGHAM,1,0.003
UNIVERSITY OF ALABAMA BIRMINGHAM AL,1,0.003
UNIVERSITY OF ALABAMA BIRMINGHAM NUTRITION OBESITY RESEARCH CENTER FROM THE NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,0.003
UNIVERSITY OF ALABAMA DEPARTMENT OF ANTHROPOLOGY,1,0.003
UNIVERSITY OF ALABAMA FIELD CENTER,1,0.003
UNIVERSITY OF ALABAMA INSTITUTE FOR SOCIAL SCIENCE RESEARCH,1,0.003
UNIVERSITY OF ANTIOQUIA,1,0.003
UNIVERSITY OF ANTIOQUIA SUSTAINABILITY STRATEGY,1,0.003
UNIVERSITY OF ANTWERP,1,0.003
UNIVERSITY OF ANTWERP RESEARCH FUND BELGIUM,1,0.003
UNIVERSITY OF ANTWERP THROUGH A GOA PROJECT,1,0.003
UNIVERSITY OF APPLIED HEALTH STUDIES ZAGREB CROATIA,1,0.003
UNIVERSITY OF ARIZONA COLLABORATORY FOR METABOLIC DISEASE PREVENTION AND TREATMENT,1,0.003
UNIVERSITY OF ARIZONA GRADUATE AND PROFESSIONAL STUDENT COUNCIL,1,0.003
UNIVERSITY OF ARIZONA UA,1,0.003
UNIVERSITY OF ATHENS,1,0.003
UNIVERSITY OF AUCKLAND DOCTORAL SCHOLARSHIP,1,0.003
UNIVERSITY OF AUCKLAND FACULTY RESEARCH DEVELOPMENT FUND,1,0.003
UNIVERSITY OF BARI ALDO MORO BARI ITALY,1,0.003
UNIVERSITY OF BASEL BASEL SWITZERLAND,1,0.003
UNIVERSITY OF BERGEN NORWAY,1,0.003
UNIVERSITY OF BIRMINGHAM BIRMINGHAM UK,1,0.003
UNIVERSITY OF BIRMINGHAM BIRMINGHAM UNITED KINGDOM,1,0.003
UNIVERSITY OF BIRMINGHAM UNITED KINGDOM,1,0.003
UNIVERSITY OF BRISTOL NIHR BIOMEDICAL RESEARCH CENTRE,1,0.003
UNIVERSITY OF BRISTOL OVERSEAS RESEARCH STUDENT AWARD SCHEME,1,0.003
UNIVERSITY OF BRITISH COLUMBIA BRIDGE PROGRAM,1,0.003
UNIVERSITY OF BRITISH COLUMBIA HAMPTON FUND,1,0.003
UNIVERSITY OF CA SAN FRANCISCO,1,0.003
UNIVERSITY OF CADIZ,1,0.003
UNIVERSITY OF CALGARY,1,0.003
UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO CENTER FOR AGING IN DIVERSE COMMUNITIES UNDER RESOURCE CENTERS FOR MINORITY AGING RESEARCH PROGRAM OF THE NATIONAL INSTITUTE ON AGING,1,0.003
UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO S CALIFORNIA AIDS RESEARCH CENTER,1,0.003
UNIVERSITY OF CALIFORNIA BERKELEY HELLMAN FUND USA,1,0.003
UNIVERSITY OF CALIFORNIA BERKELEY UCB HELLMAN FUND USA,1,0.003
UNIVERSITY OF CALIFORNIA CLINICAL AND TRANSLATIONAL SCIENCE CENTER NATIONAL INSTITUTES OF HEALTH,1,0.003
UNIVERSITY OF CALIFORNIA DAVIS CLINICAL AND TRANSLATIONAL CENTER BASE OPERATING,1,0.003
UNIVERSITY OF CALIFORNIA DAVIS NIH,1,0.003
UNIVERSITY OF CALIFORNIA LOS ANGELES CENTER FOR ADVANCING LONGITUDINAL DRUG ABUSE RESEARCH CALDAR FROM THE NATIONAL INSTITUTE ON DRUG ABUSE NIDA,1,0.003
UNIVERSITY OF CALIFORNIA LOS ANGELES COUSINS CENTER FOR PSYCHONEUROIMMUNOLOGY,1,0.003
UNIVERSITY OF CALIFORNIA LOS ANGELES DRUG ABUSE RESEARCH TRAINING CENTER BY NIDA,1,0.003
UNIVERSITY OF CALIFORNIA LOS ANGELES FIELDING SCHOOL OF PUBLIC HEALTH DEAN S LEADERSHIP GRANT,1,0.003
UNIVERSITY OF CALIFORNIA LOS ANGELES RESOURCE CENTERS FOR MINORITY AGING RESEARCH CENTER FOR HEALTH IMPROVEMENT OF MINORITY ELDERLY RCMAR CHIME NIH NIA,1,0.003
UNIVERSITY OF CALIFORNIA OFFICE OF THE PRESIDENT UCOP,1,0.003
UNIVERSITY OF CALIFORNIA SAN DIEGO GENERAL CLINICAL RESEARCH CENTER,1,0.003
UNIVERSITY OF CALIFORNIA SAN DIEGO MOORES CANCER CENTER,1,0.003
UNIVERSITY OF CALIFORNIA SAN FRANCISCO DIVISION OF CARDIOLOGY,1,0.003
UNIVERSITY OF CALIFORNIA SAN FRANCISCO UCSF CHANCELLOR S RESEARCH FELLOWSHIP,1,0.003
UNIVERSITY OF CALIFORNIA SAN FRANCISCO UCSF FLIGHT ATTENDANT MEDICAL RESEARCH INSTITUTE FAMRI,1,0.003
UNIVERSITY OF CALIFORNIA TRANSPORTATION CENTER,1,0.003
UNIVERSITY OF CAPE TOWN DISCOVERY HEALTH NATIONAL RESEARCH FOUNDATION ERNST ETHEL ERIKSEN FOUNDATION,1,0.003
UNIVERSITY OF CARTAGENA,1,0.003
UNIVERSITY OF CASTILLA LA MANCHA RESEARCH GROUP ECONOMY FOOD AND SOCIETY,1,0.003
UNIVERSITY OF CASTILLA LA MANCHA SPAIN,1,0.003
UNIVERSITY OF CATANIA,1,0.003
UNIVERSITY OF CENTRAL FLORIDA IN HOUSE GRANT,1,0.003
UNIVERSITY OF CHICAGO CANCER RESEARCH CENTER,1,0.003
UNIVERSITY OF CHICAGO CLINICAL AND TRANSLATIONAL SCIENCE AWARD,1,0.003
UNIVERSITY OF CHICAGO COMPREHENSIVE CANCER CENTER,1,0.003
UNIVERSITY OF CHICAGO DEPARTMENT OF FAMILY MEDICINE,1,0.003
UNIVERSITY OF CHICAGO DIABETES RESEARCH AND TRAINING CENTER NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,0.003
UNIVERSITY OF CHICAGO MEDICAL CENTER DIVISION OF THE BIOLOGICAL SCIENCES,1,0.003
UNIVERSITY OF CHILE,1,0.003
UNIVERSITY OF CINCINNATI,1,0.003
UNIVERSITY OF CINCINNATI COLLEGE OF MEDICINE,1,0.003
UNIVERSITY OF CINCINNATI HEART LUNG AND VASCULAR INSTITUTE,1,0.003
UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS AMC CHANCELLOR S OFFICE,1,0.003
UNIVERSITY OF COLORADO BOULDER,1,0.003
UNIVERSITY OF COLORADO CANCER CENTER,1,0.003
UNIVERSITY OF COLORADO DENVER,1,0.003
UNIVERSITY OF COLORADO DENVER GENERAL CLINICAL RESEARCH CENTER,1,0.003
UNIVERSITY OF COLORADO PEDIATRIC CLINICAL AND TRANSLATIONAL RESEARCH CENTER CTRC,1,0.003
UNIVERSITY OF COLORADO POPULATION CENTER,1,0.003
UNIVERSITY OF CONNECTICUT,1,0.003
UNIVERSITY OF CONNECTICUT CENTER FOR ELIMINATION OF HEALTH DISPARITIES IN LATINOS,1,0.003
UNIVERSITY OF CONNECTICUT CENTER FOR INTERDISCIPLINARY RESEARCH IN WOMEN S HEALTH,1,0.003
UNIVERSITY OF CONNECTICUT CENTER OF HEALTH INTERVENTION AND PREVENTION,1,0.003
UNIVERSITY OF CONNECTICUT FOUNDATION,1,0.003
UNIVERSITY OF CONNECTICUT HEALTH CENTER,1,0.003
UNIVERSITY OF CONNECTICUT S 2015 RESEARCH EXCELLENCE PROGRAM,1,0.003
UNIVERSITY OF CONNECTICUT USDA HATCH GRANT,1,0.003
UNIVERSITY OF COPENHAGEN DENMARK,1,0.003
UNIVERSITY OF DEBRECEN HUNGARY,1,0.003
UNIVERSITY OF DELAWARE S RESEARCH FOUNDATION,1,0.003
UNIVERSITY OF DENVER S KORBEL SCHOOL OF INTERNATIONAL STUDIES,1,0.003
UNIVERSITY OF EAST ANGLIA FMH STUDENTSHIP,1,0.003
UNIVERSITY OF EDINBURGH AS PART OF THE CROSS COUNCIL LIFELONG HEALTH AND WELLBEING INITIATIVE,1,0.003
UNIVERSITY OF EDINBURGH CENTRE FOR COGNITIVE AGEING AND COGNITIVE EPIDEMIOLOGY,1,0.003
UNIVERSITY OF EDINBURGH CENTRE FOR COGNITIVE AGEING AND COGNITIVE EPIDEMIOLOGY PART OF THE CROSSCOUNCIL LIFELONG HEALTH AND WELLBEING INITIATIVE,1,0.003
UNIVERSITY OF EDINBURGH CENTRE FOR COGNITIVE AGING AND COGNITIVE EPIDEMIOLOGY PART OF THE CROSS COUNCIL LIFELONG HEALTH AND WELLBEING INITIATIVE,1,0.003
UNIVERSITY OF EXETER,1,0.003
UNIVERSITY OF FLORIDA,1,0.003
UNIVERSITY OF FLORIDA CLINICAL AND TRANSLATIONAL SCIENCE INSTITUTE,1,0.003
UNIVERSITY OF FLORIDA GATORADE TRUST,1,0.003
UNIVERSITY OF FREIBURG,1,0.003
UNIVERSITY OF GERONA,1,0.003
UNIVERSITY OF GIRONA,1,0.003
UNIVERSITY OF GOTHENBURG,1,0.003
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2016 EXCELLENCE ACTION UNITS OF EXCELLENCE,1,0.003
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2016 EXCELLENCE ACTIONS UNIT OF EXCELLENCE ON EXERCISE AND HEALTH UCEES,1,0.003
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2016 EXCELLENCE ACTIONS UNIT OF EXCELLENCE ON EXERCISE AND HEALTH UCEES PLAN PROPIO DE INVESTIGACION 2018 PROGRAMA CONTRATOS PUENTE,1,0.003
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2016 EXCELLENCE ACTIONS UNITS OF EXCELLENCE UNIT OF EXCELLENCE ON EXERCISE AND HEALTH UCEES,1,0.003
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2016 SCIENTIFIC UNIT OF EXCELLENCE ON EXERCISE AND HEALTH UCEES,1,0.003
UNIVERSITY OF GRANADA PLAN PROPIO DE INVESTIGACION 2018 PROGRAMA PERFECCIONAMIENTO DE DOCTORES,1,0.003
UNIVERSITY OF GREIFSWALD GERMANY,1,0.003
UNIVERSITY OF GRONINGEN LENTIS,1,0.003
UNIVERSITY OF HONG KONG FOUNDATION FOR DEVELOPMENT AND RESEARCH,1,0.003
UNIVERSITY OF HONG KONG FOUNDATION FOR DEVELOPMENT AND RESEARCH HONG KONG CHINA,1,0.003
UNIVERSITY OF HONG KONG FOUNDATION FOR EDUCATIONAL DEVELOPMENT AND RESEARCH,1,0.003
UNIVERSITY OF HONG KONG FOUNDATION FOR EDUCATIONAL DEVELOPMENT AND RESEARCH HONG KONG CHINA,1,0.003
UNIVERSITY OF HONG KONG S URC RESEARCH ASSISTANT PROFESSORSHIP GRANT,1,0.003
UNIVERSITY OF HONG KONG UNIVERSITY RESEARCH COMMITTEE GRANT,1,0.003
UNIVERSITY OF HONG KONG UNIVERSITY RESEARCH COMMITTEE STRATEGIC RESEARCH THEME OF PUBLIC HEALTH HONG KONG CHINA,1,0.003
UNIVERSITY OF HONG KONG UNIVERSITY RESEARCH COMMITTEE STRATEGIC RESEARCH THEME PUBLIC HEALTH HONG KONG,1,0.003
UNIVERSITY OF HOUSTON S PROVOST S UNDERGRADUATE RESEARCH SCHOLARSHIP,1,0.003
UNIVERSITY OF ICELAND RESEARCH FUND,1,0.003
UNIVERSITY OF ILLINOIS AT CHICAGO CANCER CENTER,1,0.003
UNIVERSITY OF ILLINOIS AT CHICAGO CENTER FOR CLINICAL AND TRANSLATIONAL SCIENCE,1,0.003
UNIVERSITY OF ILLINOIS AT CHICAGO CLINICAL AND TRANSLATIONAL SCIENCE AWARDS GRANT,1,0.003
UNIVERSITY OF ILLINOIS AT CHICAGO GRADUATE COLLEGE AND COLLEGE OF NURSING,1,0.003
UNIVERSITY OF ILLINOIS AT CHICAGO S OFFICE OF SOCIAL SCIENCE RESEARCH FACULTY SEED GRANT,1,0.003
UNIVERSITY OF ILLINOIS AT URBANA CHAMPAIGN RESEARCH BOARD,1,0.003
UNIVERSITY OF ILLINOIS CAMPUS RESEARCH BOARD,1,0.003
UNIVERSITY OF ILLINOIS COLLEGE OF ACES JONATHAN BALDWIN TURNER FELLOWSHIP,1,0.003
UNIVERSITY OF ILLINOIS COLLEGE OF AGRICULTURAL CONSUMER AND ENVIRONMENTAL SCIENCES,1,0.003
UNIVERSITY OF IOWA,1,0.003
UNIVERSITY OF JYVASKYLA,1,0.003
UNIVERSITY OF KANSAS ALZHEIMER S DISEASE CENTER,1,0.003
UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE INC,1,0.003
UNIVERSITY OF KENTUCKY AFRICAN AMERICAN STUDIES AND RESEARCH PROGRAM,1,0.003
UNIVERSITY OF KENTUCKY CARDIOVASCULAR RESEARCH CENTER NIH,1,0.003
UNIVERSITY OF KENTUCKY COLLEGE OF EDUCATION TURNER THACKER RESEARCH FUND,1,0.003
UNIVERSITY OF KENTUCKY COLLEGE OF NURSING,1,0.003
UNIVERSITY OF KENTUCKY LEXINGTON KY,1,0.003
UNIVERSITY OF KENTUCKY PEDIATRIC EXERCISE PHYSIOLOGY LABORATORY ENDOWMENT,1,0.003
UNIVERSITY OF KIEL,1,0.003
UNIVERSITY OF KWAZULU NATAL UKZN COLLEGE OF HEALTH SCIENCES,1,0.003
UNIVERSITY OF L AQUILA,1,0.003
UNIVERSITY OF LANCASTER,1,0.003
UNIVERSITY OF LE MANS,1,0.003
UNIVERSITY OF LEEDS STUDENTSHIP,1,0.003
UNIVERSITY OF LEICESTER,1,0.003
UNIVERSITY OF LIEGE,1,0.003
UNIVERSITY OF LIEGE FONDS SPECIAUX A LA RECHERCHE FONDS LEON FREDERICQ,1,0.003
UNIVERSITY OF LIEGE HOSPITAL FONDS D INVESTISSEMENT POUR LA RECHERCHE SCIENTIFIQUE 2013 2014,1,0.003
UNIVERSITY OF LIMERICK PHYSICAL EDUCATION AND SPORT SCIENCES POSTGRADUATE SCHOLARSHIP,1,0.003
UNIVERSITY OF LIMPOPO SOUTH AFRICA,1,0.003
UNIVERSITY OF LIVERPOOL,1,0.003
UNIVERSITY OF LONDON,1,0.003
UNIVERSITY OF LONDON CENTRAL RESEARCH FUND,1,0.003
UNIVERSITY OF LUBECK MEDICAL SCHOOL,1,0.003
UNIVERSITY OF LUXEMBOURG,1,0.003
UNIVERSITY OF MAASTRICHT,1,0.003
UNIVERSITY OF MAGDALENA,1,0.003
UNIVERSITY OF MAGDEBURG MEDICAL FACULTY,1,0.003
UNIVERSITY OF MAINE,1,0.003
UNIVERSITY OF MALAGA CAMPUS OF INTERNATIONAL EXCELLENCE ANDALUCIA TECH,1,0.003
UNIVERSITY OF MALAGA PLAN PROPIO 2017 AYUDAS EL FOMENTO DE PROYECTOS DE INVESTIGACION EN CIENCIAS SOCIALES Y JURIDICAS HUMANIDADES ARQUITECTURA Y BELLAS ARTES,1,0.003
UNIVERSITY OF MALAGA PLAN PROPIO 2017 AYUDAS PARA PROYECTOS DIRIGIDOS POR JOVENES INVESTIGADORES,1,0.003
UNIVERSITY OF MALAYA FLAGSHIP PROJECT,1,0.003
UNIVERSITY OF MALAYA GRAND CHALLENGE ON PREVENTING ELDER ABUSE AND NEGLECT INITIATIVE,1,0.003
UNIVERSITY OF MALAYA GRAND CHALLENGE ON PREVENTING ELDER ABUSE AND NEGLECT INITIATIVE PEACE,1,0.003
UNIVERSITY OF MALAYA RESEARCH GRANT,1,0.003
UNIVERSITY OF MANCHESTER,1,0.003
UNIVERSITY OF MANCHESTER UK,1,0.003
UNIVERSITY OF MANITOBA,1,0.003
UNIVERSITY OF MARBURG,1,0.003
UNIVERSITY OF MARYLAND GENERAL CLINICAL RESEARCH CENTER GRANT,1,0.003
UNIVERSITY OF MARYLAND GRCR,1,0.003
UNIVERSITY OF MARYLAND INSTITUTE FOR CLINICAL AND TRANSLATIONAL RESEARCH,1,0.003
UNIVERSITY OF MASSACHUSETTS AMHERST,1,0.003
UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,1,0.003
UNIVERSITY OF MASSACHUSETTS WORCESTER PREVENTION RESEARCH CENTER THROUGH THE CDC PREVENTION RESEARCH CENTER PROGRAM,1,0.003
UNIVERSITY OF MEDICAL SCIENCES KERMANSHAH IRAN,1,0.003
UNIVERSITY OF MEDICINE AND PHARMACY GRIGORE T POPA IASI,1,0.003
UNIVERSITY OF MEDICINE AND PHARMACY OF TIRGU MURES,1,0.003
UNIVERSITY OF MEDICINE PHARMACY SCIENCES AND TECHNOLOGY OF TARGU MURE,1,0.003
UNIVERSITY OF MELBOURNE ALAN GILBERT MOBILITY SCHOLARSHIP,1,0.003
UNIVERSITY OF MELBOURNE FACULTY OF MEDICINE DENTISTRY AND HEALTH SCIENCES RESEARCH FELLOWSHIP,1,0.003
UNIVERSITY OF MELBOURNE INTERNATIONAL RESEARCH SCHOLARSHIP MIRS,1,0.003
UNIVERSITY OF MELBOURNE JOHN AND BETTY MCCREERY SCHOLARSHIP,1,0.003
UNIVERSITY OF MELBOURNE THROUGH THE MELBOURNE SCHOOL OF PSYCHOLOGICAL SCIENCES PHD STUDENT RESEARCH FUNDING SCHEME,1,0.003
UNIVERSITY OF MEMPHIS,1,0.003
UNIVERSITY OF MIAMI HOLTZ CHILDREN S HOSPITAL,1,0.003
UNIVERSITY OF MICHIGAN CENTER FOR OCCUPATIONAL HEALTH AND SAFETY ENGINEERING CENTERS FOR DISEASE CONTROL AND PREVENTION,1,0.003
UNIVERSITY OF MICHIGAN COMPREHENSIVE CANCER CENTER,1,0.003
UNIVERSITY OF MICHIGAN FRANKEL CARDIOVASCULAR CENTER,1,0.003
UNIVERSITY OF MICHIGAN GCRC,1,0.003
UNIVERSITY OF MICHIGAN GRAHAM SUSTAINABILITY INSTITUTE DOW SUSTAINABILITY FELLOWSHIP,1,0.003
UNIVERSITY OF MICHIGAN HEALTH SYSTEM AND PEKING UNIVERSITY HEALTH SCIENCES CENTER JOINT INSTITUTE FOR TRANSLATIONAL AND CLINICAL RESEARCH,1,0.003
UNIVERSITY OF MICHIGAN HEALTH SYSTEM PEKING UNIVERSITY HEALTH SCIENCE CENTER JOINT INSTITUTE FOR TRANSLATIONAL AND CLINICAL RESEARCH,1,0.003
UNIVERSITY OF MICHIGAN MEDICAL SCHOOL CLINICAL INITIATIVES,1,0.003
UNIVERSITY OF MICHIGAN MEDICAL SCHOOL GLOBAL REACH PROGRAM UNIVERSITY OF MICHIGAN PEKING UNIVERSITY HEALTH SCIENCES CENTER JOINT INSTITUTE FOR CLINICAL AND TRANSLATIONAL RESEARCH,1,0.003
UNIVERSITY OF MICHIGAN NATIONAL CENTER FOR INSTITUTIONAL DIVERSITY,1,0.003
UNIVERSITY OF MICHIGAN RACKHAM GRADUATE SCHOOL MERIT FELLOWSHIP,1,0.003
UNIVERSITY OF MICHIGAN RACKHAM GRADUATE SCHOOL VIA THE SOCIAL SCIENCES ANNUAL INSTITUTE ROUND 6,1,0.003
UNIVERSITY OF MICHIGAN ROBERT WOOD JOHNSON FOUNDATION HEALTH AND SOCIETY SCHOLAR S SMALL GRANT PROGRAM,1,0.003
UNIVERSITY OF MICHIGAN S COLLEGE OF LITERATURE SCIENCE AND THE ARTS,1,0.003
UNIVERSITY OF MICHIGAN S GRAHAM SUSTAINABILITY INSTITUTE,1,0.003
UNIVERSITY OF MICHIGAN S OFFICE OF VICE PRESIDENT FOR RESEARCH,1,0.003
UNIVERSITY OF MICHIGAN S ROBERT WOOD JOHNSON FOUNDATION HEALTH SOCIETY,1,0.003
UNIVERSITY OF MICHIGAN TAUBMAN INSTITUTE INTERNAL GRANT,1,0.003
UNIVERSITY OF MINNESOTA DIET READING CENTER,1,0.003
UNIVERSITY OF MINNESOTA DIVISION OF EPIDEMIOLOGY AND COMMUNITY HEALTH,1,0.003
UNIVERSITY OF MINNESOTA FROM THE NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,1,0.003
UNIVERSITY OF MINNESOTA PEDIATRIC FOUNDATION,1,0.003
UNIVERSITY OF MINNESOTA VIKINGS CHILDREN S,1,0.003
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER FROM NATIONAL INSTITUTE FOR MINORITY HEALTH AND HEALTH DISPARITIES,1,0.003
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER UNDER NHLBI,1,0.003
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER UNDER NIMHD,1,0.003
UNIVERSITY OF MISSOURI,1,0.003
UNIVERSITY OF MISSOURI RESEARCH REACTOR CENTER,1,0.003
UNIVERSITY OF MODENA AND REGGIO EMILIA,1,0.003
UNIVERSITY OF MONTREAL RESEARCH INSTITUTE IN PUBLIC HEALTH,1,0.003
UNIVERSITY OF MUNICH MUNICH CENTER OF HEALTH SCIENCES MCHEALTH,1,0.003
UNIVERSITY OF MUNSTER MEDICAL SCHOOL GERMANY,1,0.003
UNIVERSITY OF NAPLES PARTHENOPE,1,0.003
UNIVERSITY OF NAVARRA SPAIN,1,0.003
UNIVERSITY OF NEVADA,1,0.003
UNIVERSITY OF NEW BRUNSWICK,1,0.003
UNIVERSITY OF NEW CALEDONIA,1,0.003
UNIVERSITY OF NEW MEXICO,1,0.003
UNIVERSITY OF NEW MEXICO CLINICAL AND TRANSLATIONAL RESEARCH CENTER NCATS,1,0.003
UNIVERSITY OF NEW MEXICO GRADUATE RESEARCH DEVELOPMENT AWARD,1,0.003
UNIVERSITY OF NEW MEXICO RESEARCH ALLOCATION COMMITTEE RAC GRANT,1,0.003
UNIVERSITY OF NEWCASTLE AUSTRALIA,1,0.003
UNIVERSITY OF NEWCASTLE FACULTY OF HEALTH AND MEDICINE GLADYS M BRAWN SENIOR RESEARCH FELLOWSHIP,1,0.003
UNIVERSITY OF NEWCASTLE GLADYS M BRAWN CAREER DEVELOPMENT FELLOWSHIP TEACHING ASSISTANCE,1,0.003
UNIVERSITY OF NEWCASTLE GLADYS M BRAWN CAREER DEVELOPMENT FELLOWSHIPS,1,0.003
UNIVERSITY OF NEWCASTLE NEWCASTLE AUSTRALIA,1,0.003
UNIVERSITY OF NEWCASTLE POSTGRADUATE RESEARCH SCHOLARSHIP COURTESY OF THE COLLABORATIVE RESEARCH NETWORK CRN FOR MENTAL HEALTH AND WELLBEING SCHOLARSHIP,1,0.003
UNIVERSITY OF NEWCASTLE PRIORITY RESEARCH CENTRE RESEARCH HIGHER DEGREE SCHOLARSHIP AUSTRALIA,1,0.003
UNIVERSITY OF NEWCASTLE SCHOOL OF HEALTH SCIENCES PILOT GRANT 2017,1,0.003
UNIVERSITY OF NEWCASTLE STRATEGIC PILOT GRANT TRIAL REGISTRATION AUSTRALIAN NEW ZEALAND,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL CLINIC NUTRITION RESEARCH CENTER,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL DEPARTMENT OF PSYCHOLOGY,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL GRADUATE SCHOOL,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL ROYSTER SOCIETY,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL ROYSTER SOCIETY OF FELLOWS CHANCELLOR S FELLOWSHIP,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL S LIBRARIES,1,0.003
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL UNC CH CENTER FOR ENVIRONMENTAL HEALTH,1,0.003
UNIVERSITY OF NORTH CAROLINA CANCER RESEARCH FUND,1,0.003
UNIVERSITY OF NORTH CAROLINA CENTER FOR AIDS RESEARCH,1,0.003
UNIVERSITY OF NORTH CAROLINA CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,1,0.003
UNIVERSITY OF NORTH CAROLINA CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY UNIVERSITY OF NORTH CAROLINA NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,1,0.003
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL NC,1,0.003
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL UNC CH CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY,1,0.003
UNIVERSITY OF NORTH CAROLINA CLINICAL HEMATOLOGY RESEARCH CAREER DEVELOPMENT PROGRAM,1,0.003
UNIVERSITY OF NORTH CAROLINA FORSYTH COUNTY,1,0.003
UNIVERSITY OF NORTH CAROLINA GREENSBORO S UNCG OFFICE OF RESEARCH AND ECONOMIC DEVELOPMENT,1,0.003
UNIVERSITY OF NORTH CAROLINA INSTITUTE ON AGING,1,0.003
UNIVERSITY OF NORTH CAROLINA POSTDOCTORAL PROGRAM FOR FACULTY DIVERSITY,1,0.003
UNIVERSITY OF NORTH CAROLINA S ROYSTER SOCIETY OF FELLOWS,1,0.003
UNIVERSITY OF NORTH CAROLINA UNC CH CENTER,1,0.003
UNIVERSITY OF NORTH TEXAS,1,0.003
UNIVERSITY OF NORTHERN COLORADO NEW PROJECTS PROGRAM,1,0.003
UNIVERSITY OF NOTRE DAME,1,0.003
UNIVERSITY OF NOTRE DAME AUSTRALIA,1,0.003
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER GENERAL CLINICAL RESEARCH CENTER GRANT,1,0.003
UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER OKLAHOMA CITY USA,1,0.003
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY,1,0.003
UNIVERSITY OF OREGON,1,0.003
UNIVERSITY OF OREGON ASSOCIATE DEAN OF NATURAL SCIENCES DISCRETIONARY FUNDS AWARD,1,0.003
UNIVERSITY OF OREGON CENTER FOR LATINO AND LATIN AMERICAN STUDIES,1,0.003
UNIVERSITY OF OREGON COLLEGE OF ARTS AND SCIENCES,1,0.003
UNIVERSITY OF OREGON DEPARTMENT OF ANTHROPOLOGY,1,0.003
UNIVERSITY OF OSTRAVA,1,0.003
UNIVERSITY OF OTAGO LOTTERY HEALTH RESEARCH OF NEW ZEALAND,1,0.003
UNIVERSITY OF OTAGO POSTGRADUATE SCHOLARSHIP,1,0.003
UNIVERSITY OF OTAGO WELLINGTON,1,0.003
UNIVERSITY OF OTTAWA,1,0.003
UNIVERSITY OF OTTAWA HEART INSTITUTE FOUNDATION,1,0.003
UNIVERSITY OF OTTAWA RESEARCH CHAIR,1,0.003
UNIVERSITY OF OVIEDO,1,0.003
UNIVERSITY OF OXFORD CLARENDON FUND SCHOLARSHIP,1,0.003
UNIVERSITY OF PADUA,1,0.003
UNIVERSITY OF PARMA FIL,1,0.003
UNIVERSITY OF PENNSYLVANIA CENTER,1,0.003
UNIVERSITY OF PENNSYLVANIA CLINICAL AND TRANSLATIONAL RESEARCH CENTER,1,0.003
UNIVERSITY OF PENNSYLVANIA MARCH OF DIMES PREMATURITY RESEARCH CENTER MODPRC EARLY CAREER AWARD,1,0.003
UNIVERSITY OF PENNSYLVANIA S UNIVERSITY RESEARCH FOUNDATION,1,0.003
UNIVERSITY OF PITTSBURGH AND A DISSERTATION RESEARCH AWARD FROM THE AMERICAN PSYCHOLOGICAL ASSOCIATION,1,0.003
